Stock(tickertape),Weightage(%),ySymbol,Symbol,Company Name,sector
OIL AND NATURAL GAS CORPORATION LTD,0.59,ONGC,ONGC.NS,Oil and Natural Gas Corporation Limited,Oil & gas
Oil India Ltd,0.17,OIL,OIL.NS,Oil India Limited,Oil & gas
Olectra Greentech Ltd,0.04,OLECTRA,OLECTRA.NS,Olectra Greentech Limited,Auto & Anc
One 97 Communications Ltd,0.1,PAYTM,PAYTM.NS,One97 Communications Limited,Others
Oracle Financial Services Software Ltd,0.14,OFSS,OFSS.NS,Oracle Financial Services Software Limited,IT
Page Industries Ltd,0.12,PAGEIND,PAGEIND.NS,Page Industries Limited,Discretionary
Patanjali Foods Ltd,0.09,PATANJALI,PATANJALI.NS,Patanjali Foods Limited,Staples
PB Fintech Ltd,0.29,POLICYBZR,POLICYBZR.NS,PB Fintech Limited,Others
PCBL Ltd,0.05,PCBL,PCBL.NS,PCBL Limited,Agri & Chem
Persistent Systems Ltd,0.28,PERSISTENT,PERSISTENT.NS,Persistent Systems Limited,IT
Petronet LNG Ltd,0.13,PETRONET,PETRONET.NS,Petronet LNG Limited,Oil & gas
Phoenix Mills Ltd,0.17,PHOENIXLTD,PHOENIXLTD.NS,The Phoenix Mills Limited,Build Mate
PI Industries Ltd,0.2,PIIND,PIIND.NS,PI Industries Limited,Agri & Chem
Pidilite Industries Ltd,0.24,PIDILITIND,PIDILITIND.NS,Pidilite Industries Limited,Agri & Chem
Piramal Enterprises Ltd,0.06,PEL,PEL.NS,Piramal Enterprises Limited,NBFC
Piramal Pharma Ltd,0.07,PPLPHARMA,PPLPHARMA.NS,Piramal Pharma Limited,Healthcare
PNB Housing Finance Ltd,0.02,PNBHOUSING,PNBHOUSING.NS,PNB Housing Finance Limited,NBFC
PNC Infratech Ltd,0.03,PNCINFRA,PNCINFRA.NS,PNC Infratech Limited,Build Mate
Poly Medicure Ltd,0.04,POLYMED,POLYMED.NS,Poly Medicure Limited,Healthcare
Polycab India Ltd,0.16,POLYCAB,POLYCAB.NS,Polycab India Limited,Discretionary
Poonawalla Fincorp Ltd,0.05,POONAWALLA,POONAWALLA.NS,Poonawalla Fincorp Limited,NBFC
Power Finance Corporation Ltd,0.37,PFC,PFC.NS,Power Finance Corporation Limited,NBFC
POWER GRID CORPORATION OF INDIA LIMITED,0.79,POWERGRID,POWERGRID.NS,Power Grid Corporation of India Limited,Utilities
Praj Industries Ltd,0.05,PRAJIND,PRAJIND.NS,Praj Industries Limited,Industrials
Prestige Estates Projects Ltd,0.15,PRESTIGE,PRESTIGE.NS,Prestige Estates Projects Limited,Build Mate
Prince Pipes and Fittings Ltd,0.01,PRINCEPIPE,PRINCEPIPE.NS,Prince Pipes and Fittings Limited,Others
Prism Johnson Ltd,0.01,PRSMJOHNSN,PRSMJOHNSN.NS,Prism Johnson Limited,Build Mate
Procter & Gamble Hygiene and Health Care Ltd,0.08,PGHH,PGHH.NS,Procter & Gamble Hygiene and Health Care Limited,Staples
Punjab National Bank,0.17,PNB,PNB.NS,Punjab National Bank,Banks
