Sector,Weight(%)
Financial Services,32.60
Information Technology,14.17
"Oil, Gas & Consumable Fuels",11.97
Fast Moving Consumer Goods,8.47
Automobile and Auto Components,8.31
Healthcare,4.50
Construction,3.87
Telecommunication,3.80
Metals & Mining,3.55
Power,3.14
Consumer Durables,2.59
Construction Materials,2.06
Services,0.97
